Source_Region,ISO2,Target_Region
AT,AT,AUT
BE,BE,BEL
DE,DE,DEU
FR,FR,FRA
PL,PL,POL
BG,BG,BGR
CY,CY,CYP
CZ,CZ,CZE
DK,DK,DNK
EE,EE,EST
EL,GR,GRC
ES,ES,ESP
FI,FI,FIN
HR,HR,HRV
HU,HU,HUN
IE,IE,IRL
IT,IT,ITA
LT,LT,LTU
LU,LU,LUX
LV,LV,LVA
Mt,MT,MLT
NL,NL,NLD
PT,PT,PRT
RO,RO,ROU
SE,SE,SWE
SI,SI,SVN
SK,SK,SVK
UK,GB,GBR
BG,BG,BGR
CY,CY,CYP
CZ,CZ,CZE
DK,DK,DNK
EE,EE,EST
EL,GR,GRC
ES,ES,ESP
FI,FI,FIN
HR,HR,HRV
HU,HU,HUN
IE,IE,IRL
IT,IT,ITA
LT,LT,LTU
LU,LU,LUX
LV,LV,LVA
Mt,MT,MLT
NL,NL,NLD
PT,PT,PRT
RO,RO,ROU
SE,SE,SWE
SI,SI,SVN
SK,SK,SVK
UK,GB,GBR
AUT,AT,AUT
BEL,BE,BEL
BGR,BG,BGR
CYP,CY,CYP
CZE,CZ,CZE
DEU,DE,DEU
DNK,DK,DNK
ESP,ES,ESP
EST,EE,EST
FIN,FI,FIN
FRA,FR,FRA
GBR,GB,GBR
GRC,GR,GRC
HRV,HR,HRV
HUN,HU,HUN
IRL,IE,IRL
ITA,IT,ITA
LTU,LT,LTU
LUX,LU,LUX
LVA,LV,LVA
MLT,MT,MLT
NLD,NL,NLD
POL,PL,POL
PRT,PT,PRT
ROU,RO,ROU
SVK,SK,SVK
SVN,SI,SVN
SWE,SE,SWE
ACE,ACE,ACE
AEA,AEA,AEA
AGO,AO,AGO
ARG,AR,ARG
ASE,ASE,ASE
ASO,ASO,ASO
AUS,AU,AUS
AWE,AWE,AWE
BRA,BR,BRA
CAN,CA,CAN
CHI,CHI,CHI
CHL,CL,CHL
COD,CD,COD
COL,CO,COL
DZA,DZ,DZA
EEU,EEU,EEU
EGY,EG,EGY
ETH,ET,ETH
FSU,FSU,FSU
GLB,GLB,GLB
IND,IN,IND
JPN,JP,JPN
KEN,KE,KEN
LBY,LY,LBY
MAR,MA,MAR
MDG,MG,MDG
MEA,MEA,MEA
MEX,MX,MEX
NGA,NG,NGA
ODA,ODA,ODA
OLA,OLA,OLA
SKO,SKO,SKO
TUN,TN,TUN
USA,US,USA
VEN,VE,VEN
WEU,WEU,WEU
ZAF,ZA,ZAF
Africa,Africa,Africa
China,CN,CHN
EU,EU,EU
Middle East,Middle East,Middle East
North America,North America,North America
Rest of Asia and Pacific,Rest of Asia and Pacific,Rest of Asia and Pacific
South America,South America,South America
RWF,RWF,RWF
RWM,RWM,RWM
xxx,xxx,xxx
CHN,CN,CHN
RWSA,RWSA,RWSA
RWA,RW,RWA
RWNA,RWNA,RWNA
RWE,RWE,RWE
ArgentinaReg,AR,ARG
AustraliaReg,AU,AUS
AustriaReg,AT,AUT
BelgiumReg,BE,BEL
BrazilReg,BR,BRA
BulgariaReg,BG,BGR
CanadaReg,CA,CAN
ChinaReg,CN,CHN
CongoBasin,CongoBasin,CongoBasin
CroatiaReg,HR,HRV
CyprusReg,CY,CYP
CzechRepReg,CZ,CZE
DenmarkReg,DK,DNK
EasternAf,EasternAf,EasternAf
EstoniaReg,EE,EST
FinlandReg,FI,FIN
Former_USSR,Former_USSR,Former_USSR
FranceReg,FR,FRA
GermanyReg,DE,DEU
GreeceReg,GR,GRC
HungaryReg,HU,HUN
IndiaReg,IN,IND
IndonesiaReg,ID,IDN
IrelandReg,IE,IRL
ItalyReg,IT,ITA
JapanReg,JP,JPN
LatviaReg,LV,LVA
LithuaniaReg,LT,LTU
LuxembourgReg,LU,LUX
MalaysiaReg,MY,MYS
MaltaReg,MT,MLT
MexicoReg,MX,MEX
MiddleEast,MiddleEast,MiddleEast
NetherlandsReg,NL,NLD
NewZealandReg,NZ,NZL
NorthernAf,NorthernAf,NorthernAf
Pacific_Islands,Pacific_Islands,Pacific_Islands
PolandReg,PL,POL
PortugalReg,PT,PRT
RCAM,RCAM,RCAM
RCEU,RCEU,RCEU
ROWE,ROWE,ROWE
RSAM,RSAM,RSAM
RSAS,RSAS,RSAS
RSEA_OPA,RSEA_OPA,RSEA_OPA
RSEA_PAC,RSEA_PAC,RSEA_PAC
RomaniaReg,RO,ROU
RussiaReg,RU,RUS
SlovakiaReg,SK,SVK
SloveniaReg,SI,SVN
SouthAfrReg,SouthAfrReg,SouthAfrReg
SouthKorea,SouthKorea,SouthKorea
SouthernAf,SouthernAf,SouthernAf
SpainReg,ES,ESP
SwedenReg,SE,SWE
TurkeyReg,TR,TUR
USAReg,USAReg,USAReg
UkraineReg,UA,UKR
WesternAf,WesternAf,WesternAf
